"域名","用途","优先级","是否建议购买","目标用户","品牌价值","混淆风险","年度预算上限","当前状态","购买渠道","自动续费要求","跳转目标"
"zeno-ai.org","生产主域与品牌 canonical","P0","已持有；不重复购买","全部用户","高","高","USD 50/年","已持有；生产主域；注册、DNS 与续费细节 TBD","现有注册商：TBD","必须；付款方式和到期告警需双重保障","主站 canonical；非跳转域"
"zeno.ai","最短主品牌防御域和品牌入口","P1","建议；仅在合法可得且首年总价不超过 USD 1500 时","全部用户、媒体、合作伙伴","高","高","USD 300/年","TBD（未查询可注册性；未购买）","经批准的企业注册商：TBD；须支持 .ai","必须；至少提前 60 天检查余额和续费价","https://zeno-ai.org/"
"zeno-robotics.com","商业语境下的机器人品牌防御域","P1","建议；价格和法务确认后","高校合作方、产业伙伴、国际用户","高","高","USD 50/年","TBD（未查询可注册性；未购买）","经批准的企业注册商：TBD","必须；至少提前 60 天告警","https://zeno-ai.org/"
"zeno-robotics.org","开源与研究语境下的机器人品牌防御域","P1","建议；价格和法务确认后","开源社区、高校、研究人员","高","高","USD 40/年","TBD（未查询可注册性；未购买）","经批准的企业注册商：TBD","必须；至少提前 60 天告警","https://zeno-ai.org/"
"zeno.dev","开发者入口的短域名","P2","建议；先确认 Developer Portal Owner 和 HTTPS 上线能力","开发者、贡献者、学生","高","中","USD 40/年","TBD（未查询可注册性；未购买）","经批准且支持 .dev 的企业注册商：TBD","活跃期间必须；至少提前 60 天告警","https://developer.zeno-ai.org/"
"zeno-embodied.ai","具身智能定位页或研究入口","P2","条件建议；仅在英文定位获 Brand/Legal 批准后","具身智能研究者、国际合作方","中","中","USD 250/年","TBD（未查询可注册性；未购买）","经批准且支持 .ai 的企业注册商：TBD","持有期间必须；每年评审定位价值","https://zeno-ai.org/platform/"
"zeno-platform.ai","全栈平台概览入口","P2","条件建议；与 zeno-embodied.ai 二选一优先","平台开发者、合作伙伴、研究团队","中","中","USD 250/年","TBD（未查询可注册性；未购买）","经批准且支持 .ai 的企业注册商：TBD","持有期间必须；每年评审入口价值","https://zeno-ai.org/platform/"
"zeno-humanoid.com","Zeno Humanoid 商业与产品防御域","P3","当前不建议；产品发布或混淆证据触发","人形机器人用户、合作伙伴","中","中","USD 50/年","TBD（未查询可注册性；未购买）","经批准的企业注册商：TBD","如持有则必须；退役前完成风险评估","https://zeno-ai.org/products/humanoid/"
"zeno-humanoid.org","Zeno Humanoid 开源社区防御域","P3","当前不建议；社区独立入口获批后再评估","开源贡献者、高校团队","中","中","USD 40/年","TBD（未查询可注册性；未购买）","经批准的企业注册商：TBD","如持有则必须；退役前完成风险评估","https://zeno-ai.org/products/humanoid/"
"zeno-marine.com","Zeno Marine 产品与商业防御域","P3","当前不建议；产品发布或真实混淆风险触发","海洋机器人用户、合作伙伴","中","中","USD 50/年","TBD（未查询可注册性；未购买）","经批准的企业注册商：TBD","如持有则必须；退役前完成风险评估","https://zeno-ai.org/products/marine/"
